Cant 1:1
ἐπὶ P--------- ἐπί
ὄρη N3E-APN--- ὄρος
κοιλωμάτων N3M-GPN--- κοίλωμα

Cant 3:1
ἐπὶ P--------- ἐπί
κοίτην N1--ASF--- κοίτη
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
νυξὶν N3--DPF--- νύξ
ἐζήτησα VAI-AAI1S- ζητέω
ὃν RR--ASM--- ὅς
ἠγάπησεν VAI-AAI3S- ἀγαπάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
ἐζήτησα VAI-AAI1S- ζητέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
οὐχ D--------- οὐ
εὗρον VB--AAI1S- εὑρίσκω
αὐτόν RD--ASM--- αὐτός
ἐκάλεσα VAI-AAI1S- καλέω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
οὐχ D--------- οὐ
ὑπήκουσέν VAI-AAI3S- ἀκούω ὑπο
μου RP--GS---- ἐγώ

Cant 3:2
ἀναστήσομαι VF--FMI1S- ἵστημι ἀνα
δὴ X--------- δή
καὶ C--------- καί
κυκλώσω VF--FAI1S- κυκλόω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἀγοραῖς N1A-DPF--- ἀγορά
καὶ C--------- καί
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
πλατείαις A3U-DPF--- πλατύς
καὶ C--------- καί
ζητήσω VA--AAS1S- ζητέω
ὃν RR--ASM--- ὅς
ἠγάπησεν VAI-AAI3S- ἀγαπάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
ἐζήτησα VAI-AAI1S- ζητέω
αὐτὸν RD--ASM--- αὐτός
καὶ C--------- καί
οὐχ D--------- οὐ
εὗρον VB--AAI1S- εὑρίσκω
αὐτόν RD--ASM--- αὐτός

Cant 3:3
εὕροσάν VA--AAI3P- εὑρίσκω
με RP--AS---- ἐγώ
οἱ RA--NPM--- ὁ
τηροῦντες V2--PAPNPM τηρέω
οἱ RA--NPM--- ὁ
κυκλοῦντες V4--PAPNPM κυκλόω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
πόλει N3I-DSF--- πόλις
μὴ D--------- μή
ὃν RR--ASM--- ὅς
ἠγάπησεν VAI-AAI3S- ἀγαπάω
ἡ RA--NSF--- ὁ
ψυχή N1--NSF--- ψυχή
μου RP--GS---- ἐγώ
εἴδετε VBI-AAI2P- ὁράω

Cant 3:4
