2Ma 1:1
τοῦ RA--GSN--- ὁ
δὲ X--------- δέ
ἀπὸ P--------- ἀπό
τοῦ RA--GSN--- ὁ
θυσιαστηρίου N2N-GSN--- θυσιαστήριον
ἀντιλάμψαντος VA--AAPGSN λάμπω ἀντι
φωτὸς N3T-GSN--- φῶς
ἐδαπανήθη VCI-API3S- δαπανάω

2Ma 1:33
ὡς C--------- ὡς
δὲ X--------- δέ
φανερὸν A1A-ASM--- φανερός
ἐγενήθη VCI-API3S- γίγνομαι
τὸ RA--NSN--- ὁ
πρᾶγμα N3M-NSN--- πρᾶγμα
καὶ C--------- καί
διηγγέλη VDI-API3S- ἀγγέλλω δια
τῷ RA--DSM--- ὁ
βασιλεῖ N3V-DSM--- βασιλεύς
τῶν RA--GPM--- ὁ
Περσῶν N1M-GPM--- Πέρσης
ὅτι C--------- ὅτι
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
τόπον N2--ASM--- τόπος
οὗ RR--GSM--- ὅς
τὸ RA--ASN--- ὁ
πῦρ N3--ASN--- πῦρ
ἔκρυψαν VAI-AAI3P- κρύπτω
οἱ RA--NPM--- ὁ
μεταχθέντες VQ--APPNPM ἄγω μετα
ἱερεῖς N3V-NPM--- ἱερεύς
τὸ RA--NSN--- ὁ
ὕδωρ N3--NSN--- ὕδωρ
ἐφάνη VDI-API3S- φαίνω
ἀφ' P--------- ἀπό
οὗ RR--GSM--- ὅς
καὶ C--------- καί
οἱ RA--NPM--- ὁ
περὶ P--------- περί
τὸν RA--ASM--- ὁ
Νεεμιαν N1T-ASM--- Νεεμιας
