Mal 1:1
παντοκράτωρ N3R-NSM--- παντοκράτωρ

Mal 2:9
κἀγὼ C+RPNS---- καί+ἐγώ
δέδωκα VX--XAI1S- δίδωμι
ὑμᾶς RP--AP---- σύ
ἐξουδενωμένους V4--PPPAPM ἐξουδενόω
καὶ C--------- καί
παρειμένους VM--XMPAPM ἵημι παρα
εἰς P--------- εἰς
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ἔθνη N3E-APN--- ἔθνος
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
ὑμεῖς RP--NP---- σύ
οὐκ D--------- οὐ
ἐφυλάξασθε VAI-AMI2P- φυλάσσω
τὰς RA--APF--- ὁ
ὁδούς N2--APF--- ὁδός
μου RP--GS---- ἐγώ
ἀλλὰ C--------- ἀλλά
ἐλαμβάνετε V1I-IAI2P- λαμβάνω
πρόσωπα N2N-APN--- πρόσωπον
ἐν P--------- ἐν
νόμῳ N2--DSM--- νόμος

Mal 2:10
οὐχὶ D--------- οὐ
θεὸς N2--NSM--- θεός
εἷς A3--NSM--- εἷς
ἔκτισεν VAI-AAI3S- κτίζω
ὑμᾶς RP--AP---- σύ
οὐχὶ D--------- οὐ
πατὴρ N3--NSM--- πατήρ
εἷς A3--NSM--- εἷς
πάντων A3--GPM--- πᾶς
ὑμῶν RP--GP---- σύ
τί RI--ASN--- τίς
ὅτι C--------- ὅτι
ἐγκατελίπετε VBI-AAI2P- λείπω ἐν κατα
ἕκαστος A1--NSM--- ἕκαστος
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
τοῦ RA--GSN--- ὁ
βεβηλῶσαι VA--AAN--- βεβηλόω
τὴν RA--ASF--- ὁ
διαθήκην N1--ASF--- διαθήκη
τῶν RA--GPM--- ὁ
πατέρων N3--GPM--- πατήρ
ὑμῶν RP--GP---- σύ

Mal 2:11
ἐγκατελείφθη VVI-API3S- λείπω ἐν κατα
Ιουδας N1T-NSM--- Ἰούδας
καὶ C--------- καί
βδέλυγμα N3M-NSN--- βδέλυγμα
ἐγένετο VBI-AMI3S- γίγνομαι
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
Ισραηλ N---DSM--- Ἰσραήλ
καὶ C--------- καί
ἐν P--------- ἐν
Ιερουσαλημ N---DSF--- Ἰερουσαλήμ
διότι C--------- διότι
ἐβεβήλωσεν VAI-AAI3S- βεβηλόω
Ιουδας N1T-NSM--- Ἰούδας
τὰ RA--APN--- ὁ
ἅγια A1A-APN--- ἅγιος
κυρίου N2--GSM--- κύριος
ἐν P--------- ἐν
οἷς RR--DPM--- ὅς
ἠγάπησεν VAI-AAI3S- ἀγαπάω
καὶ C--------- καί
ἐπετήδευσεν VAI-AAI3S- ἐπιτηδεύω
εἰς P--------- εἰς
θεοὺς N2--APM--- θεός
ἀλλοτρίους A1A-APM--- ἀλλότριος

Mal 2:12
ἐξολεθρεύσει VF--FAI3S- ὀλεθρεύω ἐκ
κύριος N2--NSM--- κύριος
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
τὸν RA--ASM--- ὁ
ποιοῦντα V2--PAPASM ποιέω
ταῦτα RD--APN--- οὗτος
ἕως P--------- ἕως
καὶ C--------- καί
ταπεινωθῇ VC--APS3S- ταπεινόω
ἐκ P--------- ἐκ
σκηνωμάτων N3M-GPN--- σκήνωμα
Ιακωβ N---GSM--- Ἰακώβ
καὶ C--------- καί
ἐκ P--------- ἐκ
προσαγόντων V1--PAPGPM ἄγω προς
θυσίαν N1A-ASF--- θυσία
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
παντοκράτορι N3R-DSM--- παντοκράτωρ

Mal 2:13
καὶ C--------- καί
ταῦτα RD--APN--- οὗτος
ἃ RR--APN--- ὅς
ἐμίσουν V2I-IAI1S- μισέω
ἐποιεῖτε V2I-IAI2P- ποιέω
ἐκαλύπτετε V1I-IAI2P- καλύπτω
δάκρυσιν N3--DPN--- δάκρυ
τὸ RA--ASN--- ὁ
θυσιαστήριον N2N-ASN--- θυσιαστήριον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
κλαυθμῷ N2--DSM--- κλαυθμός
καὶ C--------- καί
στεναγμῷ N2--DSM--- στεναγμός
ἐκ P--------- ἐκ
κόπων N2--GPM--- κόπος
ἔτι D--------- ἔτι
ἄξιον A1A-ASM--- ἄξιος
ἐπιβλέψαι VA--AAN--- βλέπω ἐπι
εἰς P--------- εἰς
θυσίαν N1A-ASF--- θυσία
ἢ C--------- ἤ
λαβεῖν VB--AAN--- λαμβάνω
δεκτὸν A1--ASM--- δεκτός
ἐκ P--------- ἐκ
τῶν RA--GPF--- ὁ
χειρῶν N3--GPF--- χείρ
ὑμῶν RP--GP---- σύ

Mal 2:14
καὶ C--------- καί
εἴπατε VAI-AAI2P- εἶπον
ἕνεκεν P--------- ἕνεκεν
τίνος RI--GSN--- τίς
ὅτι C--------- ὅτι
κύριος N2--NSM--- κύριος
διεμαρτύρατο VAI-AMI3S- μαρτυρέω δια
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
σοῦ RP--GS---- σύ
καὶ C--------- καί
ἀνὰ P--------- ἀνά
μέσον A1--ASN--- μέσος
γυναικὸς N3K-GSF--- γυνή
νεότητός N3T-GSF--- νεότης
σου RP--GS---- σύ
ἣν RR--ASF--- ὅς
ἐγκατέλιπες VBI-AAI2S- λείπω ἐν κατα
καὶ C--------- καί
αὐτὴ RD--NSF--- αὐτός
