Ezr 1:24
καὶ C--------- καί
διεπέμψατο VAI-AMI3S- πέμπω δια
βασιλεὺς N3V-NSM--- βασιλεύς
Αἰγύπτου N2--GSF--- Αἴγυπτος
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
λέγων V1--PAPNSM λέγω
τί RI--NSN--- τίς
ἐμοὶ RP--DS---- ἐγώ
καὶ C--------- καί
σοί RP--DS---- σύ
ἐστιν V9--PAI3S- εἰμί
βασιλεῦ N3V-VSM--- βασιλεύς
τῆς RA--GSF--- ὁ
Ιουδαίας N1A-GSF--- Ἰουδαία

Ezr 1:25
οὐχὶ D--------- οὐ
πρὸς P--------- πρός
σὲ RP--AS---- σύ
ἐξαπέσταλμαι VM--XMI1S- στέλλω ἐκ ἀπο
ὑπὸ P--------- ὑπό
κυρίου N2--GSM--- κύριος
τοῦ RA--GSM--- ὁ
θεοῦ N2--GSM--- θεός
ἐπὶ P--------- ἐπί
γὰρ X--------- γάρ
τοῦ RA--GSM--- ὁ
Εὐφράτου N1M-GSM--- Εὐφράτης
ὁ RA--NSM--- ὁ
πόλεμός N2--NSM--- πόλεμος
μού RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
νῦν D--------- νῦν
κύριος N2--NSM--- κύριος
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἐστιν V9--PAI3S- εἰμί
καὶ C--------- καί
κύριος N2--NSM--- κύριος
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ
ἐπισπεύδων V1--PAPNSM σπεύδω ἐπι
ἐστίν V9--PAI3S- εἰμί
ἀπόστηθι VH--AAD2S- ἵστημι ἀπο
καὶ C--------- καί
μὴ D--------- μή
ἐναντιοῦ V4--PMD2S- ἐναντιόω
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος

Ezr 1:26
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπέστρεψεν VAI-AAI3S- στρέφω ἀπο
ἑαυτὸν RD--ASM--- ἑαυτοῦ
Ιωσιας N1T-NSM--- Ιωσίας
ἐπὶ P--------- ἐπί
τὸ RA--ASN--- ὁ
ἅρμα N3M-ASN--- ἅρμα
αὐτοῦ RD--GSM--- αὐτός
ἀλλὰ C--------- ἀλλά
πολεμεῖν V2--PAN--- πολεμέω
αὐτὸν RD--ASM--- αὐτός
ἐπιχειρεῖ V2--PAI3S- χειρέω ἐπι
οὐ D--------- οὐ
προσέχων V1--PAPNSM ἔχω προς
ῥήμασιν N3M-DPN--- ῥῆμα
Ιερεμιου N1T-GSM--- Ἰερεμίας
προφήτου N1M-GSM--- προφήτης
ἐκ P--------- ἐκ
στόματος N3M-GSN--- στόμα
κυρίου N2--GSM--- κύριος

Ezr 1:27
ἀλλὰ C--------- ἀλλά
συνεστήσατο VAI-AMI3S- ἵστημι συν
πρὸς P--------- πρός
αὐτὸν RD--ASM--- αὐτός
πόλεμον N2--ASM--- πόλεμος
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
Μαγεδδαους N---GS---- Μαγεδδαων
καὶ C--------- καί
κατέβησαν VZI-AAI3P- βαίνω κατα
οἱ RA--NPM--- ὁ
ἄρχοντες N3--NPM--- ἄρχων
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
βασιλέα N3V-ASM--- βασιλεύς
Ιωσιαν N1T-ASM--- Ιωσίας

Ezr 1:28
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
ὁ RA--NSM--- ὁ
βασιλεὺς N3V-NSM--- βασιλεύς
τοῖς RA--DPM--- ὁ
παισὶν N3D-DPM--- παῖς
