010117 P- -------- ἕως ἕως ἕως ἕως
010117 RA ----GSM- τοῦ τοῦ τοῦ ὁ
010117 N- ----GSM- χριστοῦ χριστοῦ Χριστοῦ Χριστός
010117 N- ----NPF- γενεαὶ γενεαὶ γενεαί γενεά
010117 A- ----NPF- δεκατέσσαρες. δεκατέσσαρες δεκατέσσαρες δεκατέσσαρες
010118 RA ----GSM- Τοῦ Τοῦ τοῦ ὁ
010118 C- -------- δὲ δὲ δέ δέ
010118 N- ----GSM- ⸀Ἰησοῦ Ἰησοῦ Ἰησοῦ Ἰησοῦς
010118 N- ----GSM- χριστοῦ χριστοῦ Χριστοῦ Χριστός
010118 RA ----NSF- ἡ ἡ ἡ ὁ
010118 N- ----NSF- ⸀γένεσις γένεσις γένεσις γένεσις
010118 D- -------- οὕτως οὕτως οὕτω(ς) οὕτω(ς)
010118 V- 3IAI-S-- ἦν. ἦν ἦν εἰμί
010118 V- -APPGSF- ⸀μνηστευθείσης μνηστευθείσης μνηστευθείσης μνηστεύομαι
010118 RA ----GSF- τῆς τῆς τῆς ὁ
010118 N- ----GSF- μητρὸς μητρὸς μητρός μήτηρ
010118 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010118 N- ----GSF- Μαρίας Μαρίας Μαρίας Μαρία
010118 RA ----DSM- τῷ τῷ τῷ ὁ
010118 N- ----DSM- Ἰωσήφ, Ἰωσήφ Ἰωσήφ Ἰωσήφ
010118 D- -------- πρὶν πρὶν πρίν πρίν
010118 C- -------- ἢ ἢ ἤ ἤ
010118 V- -AAN---- συνελθεῖν συνελθεῖν συνελθεῖν συνέρχομαι
010118 RP ----APM- αὐτοὺς αὐτοὺς αὐτούς ἑαυτοῦ
010118 V- 3API-S-- εὑρέθη εὑρέθη εὑρέθη εὑρίσκω
010118 P- -------- ἐν ἐν ἐν ἐν
010118 N- ----DSF- γαστρὶ γαστρὶ γαστρί γαστήρ
010118 V- -PAPNSF- ἔχουσα ἔχουσα ἔχουσα ἔχω
010118 P- -------- ἐκ ἐκ ἐκ ἐκ
010118 N- ----GSN- πνεύματος πνεύματος πνεύματος πνεῦμα
010118 A- ----GSN- ἁγίου. ἁγίου ἁγίου ἅγιος
010119 N- ----NSM- Ἰωσὴφ Ἰωσὴφ Ἰωσήφ Ἰωσήφ
010119 C- -------- δὲ δὲ δέ δέ
010119 RA ----NSM- ὁ ὁ ὁ ὁ
010119 N- ----NSM- ἀνὴρ ἀνὴρ ἀνήρ ἀνήρ
010119 RP ----GSF- αὐτῆς, αὐτῆς αὐτῆς αὐτός
010119 A- ----NSM- δίκαιος δίκαιος δίκαιος δίκαιος
010119 V- -PAPNSM- ὢν ὢν ὤν εἰμί
010119 C- -------- καὶ καὶ καί καί
010119 D- -------- μὴ μὴ μή μή
010119 V- -PAPNSM- θέλων θέλων θέλων θέλω
010119 RP ----ASF- αὐτὴν αὐτὴν αὐτήν ἑαυτοῦ
010119 V- -AAN---- ⸀δειγματίσαι, δειγματίσαι δειγματίσαι δειγματίζω
010119 V- 3API-S-- ἐβουλήθη ἐβουλήθη ἐβουλήθη βούλομαι
010119 D- -------- λάθρᾳ λάθρᾳ λάθρᾳ λάθρᾳ
010119 V- -AAN---- ἀπολῦσαι ἀπολῦσαι ἀπολῦσαι ἀπολύω
010119 RP ----ASF- αὐτήν. αὐτήν αὐτήν ἑαυτοῦ
010120 RD ----APN- ταῦτα ταῦτα ταῦτα οὗτος
010120 C- -------- δὲ δὲ δέ δέ
010120 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010120 V- -APPGSM- ἐνθυμηθέντος ἐνθυμηθέντος ἐνθυμηθέντος ἐνθυμέομαι
010120 X- -------- ἰδοὺ ἰδοὺ ἰδού ἰδού
010120 N- ----NSM- ἄγγελος ἄγγελος ἄγγελος ἄγγελος
010120 N- ----GSM- κυρίου κυρίου κυρίου κύριος
010120 P- -------- κατ’ κατ’ κατά κατά
010120 N- ----ASN- ὄναρ ὄναρ ὄναρ ὄναρ
010120 V- 3API-S-- ἐφάνη ἐφάνη ἐφάνη φαίνω
010120 RP ----DSM- αὐτῷ αὐτῷ αὐτῷ αὐτός
010120 V- -PAPNSM- λέγων· λέγων λέγων λέγω
010120 N- ----VSM- Ἰωσὴφ Ἰωσὴφ Ἰωσήφ Ἰωσήφ
010120 N- ----NSM- υἱὸς υἱὸς υἱός υἱός
010120 N- ----GSM- Δαυίδ, Δαυίδ Δαυίδ Δαυίδ
010120 D- -------- μὴ μὴ μή μή
010120 V- 2APS-S-- φοβηθῇς φοβηθῇς φοβηθῇς φοβέομαι
010120 V- -AAN---- παραλαβεῖν παραλαβεῖν παραλαβεῖν παραλαμβάνω
010120 N- ----ASF- ⸀Μαρίαν Μαρίαν Μαρίαν Μαρία
010120 RA ----ASF- τὴν τὴν τήν ὁ
010120 N- ----ASF- γυναῖκά γυναῖκά γυναῖκα γυνή
010120 RP ----GS-- σου, σου σου σύ
010120 RA ----NSN- τὸ τὸ τό ὁ
010120 C- -------- γὰρ γὰρ γάρ γάρ
010120 P- -------- ἐν ἐν ἐν ἐν
010120 RP ----DSF- αὐτῇ αὐτῇ αὐτῇ αὐτός
010120 V- -APPNSN- γεννηθὲν γεννηθὲν γεννηθέν γεννάω
010120 P- -------- ἐκ ἐκ ἐκ ἐκ
010120 N- ----GSN- πνεύματός πνεύματός πνεύματος πνεῦμα
010120 V- 3PAI-S-- ἐστιν ἐστιν ἐστί(ν) εἰμί
010120 A- ----GSN- ἁγίου· ἁγίου ἁγίου ἅγιος
010121 V- 3FMI-S-- τέξεται τέξεται τέξεται τίκτω
010121 C- -------- δὲ δὲ δέ δέ
010121 N- ----ASM- υἱὸν υἱὸν υἱόν υἱός
010121 C- -------- καὶ καὶ καί καί
010121 V- 2FAI-S-- καλέσεις καλέσεις καλέσεις καλέω
010121 RA ----ASN- τὸ τὸ τό ὁ
010121 N- ----ASN- ὄνομα ὄνομα ὄνομα ὄνομα
010121 RP ----GSM- αὐτοῦ αὐτοῦ αὐτοῦ αὐτός
010121 N- ----ASM- Ἰησοῦν, Ἰησοῦν Ἰησοῦν Ἰησοῦς
